1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.875132	0.000000	116.079566	0.021758	27.4
1	-0.911311	0.000000	116.079566	0.017624	3.0
2	-0.966436	0.000000	116.079566	0.016200	3.2
3	-0.989414	0.000000	116.079566	0.016605	3.2
4	-0.976515	0.000000	116.079566	0.015821	2.9
5	-1.018014	1.000000	110.803222	0.012706	2.8
6	-0.983814	2.000000	105.985691	0.009701	2.8
7	-0.986613	1.910057	106.401782	0.010653	2.7
8	-1.039778	2.909540	101.953900	0.013524	2.8
9	-1.032717	3.899327	97.901073	0.012390	3.0
10	-1.050365	4.899327	94.121011	0.010311	3.3
11	-1.020656	5.899327	90.622001	0.014733	3.0
12	-1.006581	6.899327	87.373822	0.010528	2.9
13	-1.002367	7.899327	84.350436	0.008808	2.8
14	-0.993891	7.809406	84.613717	0.006409	2.8
15	-0.980730	7.719463	84.878707	0.012922	2.8
16	-1.023081	7.766081	84.741152	0.014512	3.7
17	-1.002015	8.766081	81.894249	0.008175	3.3
18	-1.050671	8.705438	82.061434	0.009397	3.3
19	-1.033223	9.705438	79.388897	0.008732	3.2
20	-1.014355	10.694733	76.910913	0.007079	3.0
21	-1.040367	10.604806	77.129752	0.009225	3.0
22	-1.045218	10.514863	77.349879	0.012883	3.1
23	-1.057616	11.514863	74.970973	0.008008	2.8
24	-1.056173	12.502463	72.760945	0.010282	2.8
25	-1.035368	12.412520	72.956810	0.007237	3.2
26	-1.009345	12.322577	73.153732	0.008878	3.3
27	-1.031367	13.315995	71.035995	0.012808	3.1
28	-1.039594	14.315995	69.024556	0.012969	3.2
29	-1.042718	15.315995	67.123890	0.008126	3.3
30	-1.060771	16.315995	65.325094	0.007443	3.1
31	-1.077632	16.563293	64.895027	0.009882	3.1
32	-1.047185	16.473979	65.049695	0.013740	3.1
33	-1.060665	17.473979	63.358949	0.014080	3.0
34	-1.076713	18.473979	61.753868	0.009321	3.0
