[[-4.52449799e+01 -2.39091869e-02]
 [-4.50664749e+01 -1.75127108e-02]
 [-4.48865776e+01 -1.11286053e-02]
 [-4.47052383e+01 -4.76915902e-03]
 [-4.45224113e+01  1.55334233e-03]
 [-4.43380547e+01  7.82661326e-03]
 [-4.41521187e+01  1.40383672e-02]
 [-4.39645615e+01  2.01763175e-02]
 [-4.37753334e+01  2.62281802e-02]
 [-4.35843887e+01  3.21816653e-02]
 [-4.33916855e+01  3.80244926e-02]
 [-4.31971703e+01  4.37443666e-02]
 [-4.30008049e+01  4.93290126e-02]
 [-4.28025398e+01  5.47661372e-02]
 [-4.26023293e+01  6.00434542e-02]
 [-4.24001312e+01  6.51486814e-02]
 [-4.21958923e+01  7.00695291e-02]
 [-4.19895706e+01  7.47937113e-02]
 [-4.17811241e+01  7.93089494e-02]
 [-4.15704994e+01  8.36029425e-02]
 [-4.13576584e+01  8.76634195e-02]
 [-4.11425591e+01  9.14803594e-02]
 [-4.09252129e+01  9.50528681e-02]
 [-4.07056465e+01  9.83823016e-02]
 [-4.04838753e+01  1.01470046e-01]
 [-4.02599220e+01  1.04317464e-01]
 [-4.00338058e+01  1.06925927e-01]
 [-3.98055534e+01  1.09296814e-01]
 [-3.95751801e+01  1.11431487e-01]
 [-3.93427086e+01  1.13331318e-01]
 [-3.91081581e+01  1.14997685e-01]
 [-3.88715553e+01  1.16431952e-01]
 [-3.86329155e+01  1.17635496e-01]
 [-3.83922615e+01  1.18609682e-01]
 [-3.81496162e+01  1.19355880e-01]
 [-3.79049988e+01  1.19875476e-01]
 [-3.76584282e+01  1.20169818e-01]
 [-3.74099312e+01  1.20240301e-01]
 [-3.71595230e+01  1.20088279e-01]
 [-3.69072266e+01  1.19715132e-01]
 [-3.66530647e+01  1.19122222e-01]
 [-3.63970566e+01  1.18310928e-01]
 [-3.61392250e+01  1.17282622e-01]
 [-3.58795891e+01  1.16038673e-01]
 [-3.56181717e+01  1.14580452e-01]
 [-3.53549919e+01  1.12909324e-01]
 [-3.50900688e+01  1.11026667e-01]
 [-3.48234291e+01  1.08933859e-01]
 [-3.45550919e+01  1.06632255e-01]
 [-3.42850723e+01  1.04123235e-01]
 [-3.40134010e+01  1.01408176e-01]
 [-3.37400932e+01  9.84884351e-02]
 [-3.34651680e+01  9.53653976e-02]
 [-3.31886597e+01  9.20428038e-02]
 [-3.29106140e+01  8.85339305e-02]
 [-3.26310959e+01  8.48544389e-02]
 [-3.23501663e+01  8.10199752e-02]
 [-3.20678787e+01  7.70462006e-02]
 [-3.17842960e+01  7.29487613e-02]
 [-3.14994774e+01  6.87433183e-02]
 [-3.12134857e+01  6.44455254e-02]
 [-3.09263763e+01  6.00710362e-02]
 [-3.06382103e+01  5.56355007e-02]
 [-3.03490486e+01  5.11545800e-02]
 [-3.00589485e+01  4.66439240e-02]
 [-2.97679729e+01  4.21191901e-02]
 [-2.94761772e+01  3.75960320e-02]
 [-2.91836262e+01  3.30901034e-02]
 [-2.88903751e+01  2.86170579e-02]
 [-2.85964870e+01  2.41925512e-02]
 [-2.83020172e+01  1.98322386e-02]
 [-2.80070305e+01  1.55517710e-02]
 [-2.77115841e+01  1.13668069e-02]
 [-2.74157372e+01  7.29299802e-03]
 [-2.71195488e+01  3.34599987e-03]
 [-2.68230820e+01 -4.58533235e-04]
 [-2.65263920e+01 -4.10494721e-03]
 [-2.62295418e+01 -7.57758738e-03]
 [-2.59325905e+01 -1.08607989e-02]
 [-2.56355972e+01 -1.39389280e-02]
 [-2.53386211e+01 -1.67963207e-02]
 [-2.50417233e+01 -1.94173213e-02]
 [-2.47449627e+01 -2.17862763e-02]
 [-2.44483986e+01 -2.38875318e-02]
 [-2.41520901e+01 -2.57054325e-02]
 [-2.38560848e+01 -2.72293836e-02]
 [-2.35603695e+01 -2.84690354e-02]
 [-2.32649193e+01 -2.94390954e-02]
 [-2.29697075e+01 -3.01542729e-02]
 [-2.26747112e+01 -3.06292772e-02]
 [-2.23799038e+01 -3.08788158e-02]
 [-2.20852604e+01 -3.09175979e-02]
